,offset,limit,id,name,description,created,status,workflowStatusId,typeOfWorkId,url,projectName,customerName,workflowStatusName,typeOfWorkName,deadline,estimatedTime,customerId,projectId,canModify,canDelete
63,0,1000,539,Technical Management,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=539,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
64,0,1000,540,Travel,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=540,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
65,0,1000,541,Project Management,,1611302095000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=541,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
66,0,1000,542,Technical Management,,1611302134000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=542,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
67,0,1000,543,"Software Test, Integration & Debug",,1611302150000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=543,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
68,0,1000,544,Software Design & Development,,1611302161000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=544,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
69,0,1000,545,"Procurement, Materials Management",,1611302172000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=545,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
70,0,1000,546,Travel,,1611302289000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=546,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
71,0,1000,547,Other,,1611302330000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=547,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
72,0,1000,548,"Hardware Build, Test & Commissioning",,1611302355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=548,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
73,0,1000,549,Hardware Design & Development,,1611302364000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=549,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
74,0,1000,550,Business Development,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=550,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
75,0,1000,551,"Hardware Build, Test & Commissioning",,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=551,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
76,0,1000,552,Hardware Design & Development,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=552,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
77,0,1000,553,Other,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=553,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
78,0,1000,554,"Procurement, Materials Management",,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=554,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
79,0,1000,555,Project Management,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=555,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
80,0,1000,556,"Requirements, Specification",,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=556,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
81,0,1000,557,Software Design & Development,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=557,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
82,0,1000,558,"Software Test, Integration & Debug",,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=558,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
83,0,1000,559,Technical Management,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=559,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
84,0,1000,560,Travel,,1616150488000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=560,VVQ-3076-Chippy,VividQ,Done,Projects,,,50,88,False,False
85,0,1000,582,Training,,1620807241000,completed,2,57,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=582,Admin - Personal Admin,STL,Done,Business Management: Non-billable,,,30,56,True,True
86,0,1000,584,Assisting Tasks,,1623234919000,completed,2,67,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=584,Admin - Personal Admin,STL,Done,Personal Admin: Non-Billable,,,30,56,True,True
87,0,1000,585,Commercial Exploitation,,1623864384000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=585,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
88,0,1000,597,Business Development,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=597,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
89,0,1000,598,"Hardware Build, Test & Commissioning",,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=598,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
90,0,1000,599,Hardware Design & Development,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=599,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
91,0,1000,600,Other,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=600,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
92,0,1000,601,"Procurement, Materials Management",,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=601,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
93,0,1000,602,Project Management,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=602,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
94,0,1000,603,"Requirements, Specification",,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=603,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
95,0,1000,604,Software Design & Development,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=604,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
96,0,1000,605,"Software Test, Integration & Debug",,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=605,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
97,0,1000,606,Technical Management,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=606,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
98,0,1000,607,Travel,,1626205355000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=607,STI-3084-BiotIP,STI,Done,Projects,,,54,94,True,True
99,0,1000,608,Preliminary Model B Control Board BOM,,1628174038000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=608,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
100,0,1000,609,Preliminary Model B Control Board Block Diagram,,1628174038000,completed,2,18,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=609,RMF-3066-POCM,RAB Microfluidics,Done,research,,,48,84,True,True
101,0,1000,610,Parts Research,,1628174038000,completed,2,18,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=610,RMF-3066-POCM,RAB Microfluidics,Done,research,,,48,84,True,True
102,0,1000,611,Project Induction,,1628174038000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=611,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
103,0,1000,612,Altium Training,,1628174038000,completed,2,2,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=612,RMF-3066-POCM,RAB Microfluidics,Done,non-billable,,,48,84,True,True
104,0,1000,613,Model B Sub CPU Circuit IO Allocations,,1628260407000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=613,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
105,0,1000,614,Requirements,,1628614061000,completed,2,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=614,Tactical Process Improvement Project,STL,Done,ISO-9001: Non-Billable,,,30,95,True,True
106,0,1000,615,Analysis and Documentation,,1628614061000,open,4,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=615,Tactical Process Improvement Project,STL,In Progress,ISO-9001: Non-Billable,,,30,95,True,True
107,0,1000,616,Testing & Audits,,1628614061000,completed,2,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=616,Tactical Process Improvement Project,STL,Done,ISO-9001: Non-Billable,,,30,95,True,True
108,0,1000,617,Document Generation,,1628614061000,completed,2,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=617,Tactical Process Improvement Project,STL,Done,ISO-9001: Non-Billable,,,30,95,True,True
109,0,1000,618,Review Meetings,,1628614061000,open,4,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=618,Tactical Process Improvement Project,STL,In Progress,ISO-9001: Non-Billable,,,30,95,True,True
110,0,1000,619,Document Management,,1628614061000,completed,2,68,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=619,Tactical Process Improvement Project,STL,Done,ISO-9001: Non-Billable,,,30,95,True,True
111,0,1000,620,Business Development,,1628672616000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=620,RMF-3075-MID,RAB Microfluidics,Done,Projects,,,48,96,True,True
