Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price,Month
24/04/2018,b71705c5f3f64373a8b94bbcfec6688a,,APPLIANCE CARE:Fixing of Washing Machine:HOUSE_MAINTENANCE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£86.94,-86.94,c,,1,2018-04
24/04/2018,b71705c5f3f64373a8b94bbcfec6688a,,APPLIANCE CARE:Fixing of Washing Machine:HOUSE_MAINTENANCE,,,,,,Expenses:Annual Expenses:House Maintainance,House Maintainance,£86.94,86.94,n,,1,2018-04
26/04/2018,c0d462ce52d3456f837ed6caf3089ddd,,JUSTGIVING.COM:Martin at work swim:GIFTS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.00,-10,c,,1,2018-04
26/04/2018,c0d462ce52d3456f837ed6caf3089ddd,,JUSTGIVING.COM:Martin at work swim:GIFTS,,,,,,Expenses:Annual Expenses:Charity,Charity,£10.00,10,n,,1,2018-04
30/04/2018,d6d4c3ad457a4b2a9b526c16a534cc41,,BOOTSCHELTENHAM::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£24.04,-24.04,c,,1,2018-04
30/04/2018,d6d4c3ad457a4b2a9b526c16a534cc41,,BOOTSCHELTENHAM::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£24.04,24.04,n,,1,2018-04
08/05/2018,01be6eac3102467c83be0f1b009f4a76,,STUART SHACKELL::DEFAULT: garden bits,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£15.00,-15,c,,1,2018-05
08/05/2018,01be6eac3102467c83be0f1b009f4a76,,STUART SHACKELL::DEFAULT: garden bits,,,,,,Expenses:Annual Expenses:House Maintainance,House Maintainance,£15.00,15,n,,1,2018-05
08/05/2018,822b9e21607f4d4aa926b8eff52f405c,,THE DAWN NURSERIES::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£6.04,-6.04,c,,1,2018-05
08/05/2018,822b9e21607f4d4aa926b8eff52f405c,,THE DAWN NURSERIES::CONSUMER,,,,,,Expenses:Annual Expenses:House Maintainance,House Maintainance,£6.04,6.04,n,,1,2018-05
